"WorkID","Title","Year","YearInt","Printer","PlacePub","Genre","SubGenre","Citation","Composed","Notes"
3241,"Songs from Artaxerxes [from Poems]","1769",1769,"","","Poetry","","","Fergusson, Robert. <u> The Works of Robert Fergusson</u>. Ed. Alexander Balloch Grosart. Edinburgh: Fullarton and Macnab, 1851.
","Ed. SDM"
3242,"Cyder. A Poem. In Two Books","January 29, 1708",1708,"Jacob Tonson","London","Poetry","","Philips, John.  <u>Cyder. A Poem.  In Two Books</u>.  London: Jacob Tonson, 1708.
","","Ed. SDM."
3243,"Encheiridion","w. 55-135 ",55,"","","Prose","Roman Philosophy","","55-135 CE","Ed. SDM.  This is from #33 in the Encheiridion.  Btw, not all of the translations read this way.
BMP REVISIT. (5/19/2009)"
3244,"Another Letter by Lord Buckhurst to Mr. Etherege","1663-1689",1689,"","","Poetry","Epistle","<u>The Poems of Sir George Etherege</u>. Ed. James Thorpe. Princeton, NJ: Princeton University Press, 1963. 
","w. 1663-1689","Ed. SDM.  This one was hard to pin down but here's is the portion of the entry in the Literary Encyclopedia for Etherege that sheds some light on the dates of these letters:  ""A series of verse letters to Lord Buckhurst (Charles Sackville 1638-1706) are known and many of the letters Etherege wrote from Ratisbon, where he was appointed Resident by James II in 1685, have been published and throw light on certain diplomatic concerns of the time around the accession of William and Mary in 1689""  They met in 1663, so the letters could date as early as then.
"
3245,"Letter III. Miss Jenny W---d---r, to Lady Eliz. M---d---ss, at --- Castle, North. [from The New Bath Guide: Or Memoires of the Bl---n---d---r---d Family, In a Series of Poetic Epistles]","1766",1766,"","","Poetry","Epistle","Anstey, Christopher.  <u>The Poetical Works of the Late Christopher Anstey, Esq. with Some Account of the Life and Writings of the Author by his Son, John Anstey, Esq.</u> London: W. Bulmer & Co., 1808.
","","Ed. SDM"
3246,"An Ode to Mankind. Address'd to the Prince.","1741",1741,"","","Poetry","Ode","Nugent, Claud. <u>Memoir of Robert, Earl Nugent</u>.  New York: Herbert S. Stone, Co., 1898.
","","Ed. SDM.  There's another entry that comes up when you search ""An Ode to Mankind"" and it has more publication information but I can't find it through searching in the database."
3247,"The King's Birth-Day in Edinburgh [from Poems]","June 4, 1772",1772,"","","Poetry","","Fergusson, Robert. <u> The Works of Robert Fergusson</u>. Ed. Alexander Balloch Grosart. Edinburgh: Fullarton and Macnab, 1851.
","","Ed. SDM. Originally published in Ruddiman's Magazine"
3248,"The Maid of Gallowshiels. In Twelve Books.","1762",1762,"","","Poetry","Epic: Heroi-comic","Hamilton, William. <u>The Poems and Songs of William Hamilton of Bangour</u>.  Ed. James Paterson.   Edinburgh, 1850.
","w. 1726.  Left unfinished at the time of his death.  First published 1760.","Ed. SDM"
3249,"Reflections upon the Subject","1807",1807,"J. Hatchard","London","Poetry","","Crabbe, George, <u>Poems</u>. London: J. Hatchard, 1807.
","","Ed. SDM. I think the title might just be ""Reflections"" while the rest of it is part of a subtitle with the two Latin lines he's reflecting upon.  And I've seen it cited as simply ""Reflections."" So I guess you could shorten the title or include the rest of the subtitle.
"
3250,"Poins [from New Poems]","1826",1826,"Liverpool University Press","Liverpool","Poetry","","Crabbe, George. <u>New Poems by George Crabbe</u>.  Ed. Arthur Pollard. Liverpool: Liverpool University Press, 1960.
","1826","Ed. SDM.  Double title entry"
3251,"Conscience. An Elegy [from Poems]","May 7, 1772",1772,"","","Poetry","Elegy","Fergusson, Robert. <u> The Works of Robert Fergusson</u>. Ed. Alexander Balloch Grosart. Edinburgh: Fullarton and Macnab, 1851.
","","Ed. SDM. Originally published in Ruddiman's Magazine."
3252,"The Self-Subordination of Reason","1773",1773,"","","","","Byrom, John. <u>Miscellaneous Poems</u>. Leeds: James Nichols, 1814. 
","","Ed. SDM.  Part of miscellaneous pieces, originally untitled."
3253,"Tale IV. Rachel [from Posthumous Tales]","1834",1834,"J. Murray","London","Poetry","Tale","George Crabbe. <u>The Poetical Works of the Rev. George Crabbe: With His Letters and Journals, and His Life</u>. Vol. VIII. London: J. Murray, 1834. 
","","Ed. SDM"
3254,"&#91;Title Not Known&#93;","Date Unknown",1853,"","","","","<u>The National Magazine</u> Abel Stevens, ed. vol. ii. New York, published by Carlton & Phillips. January to June 1853. p. 144.","","SDM: I find a version of this quotation in a Google Books search"
3255,"Paradise Regained","1671",1671,"","London","","","Milton, John. <u>Paradise Regained</u>.  1st World Literary Classics. &lt;<a href=""www.1stworldlibrary.org"">Link to www.1stworldlibrary.org</a>&gt;
","","Ed. SDM"
3256,"&#91;Title Not Known&#93;","Date Unknown",1908,"","","","","Edwards, Tryon. <u>A Dictionary of Thoughts</u>. Detroit, MI: F.B. Dickerson, Co., 1908.
","","Ed. SDM.  This might be a paraphrase of Milton's quote from Paradise Regained although in Edwards' book he doesn't attribute it to anyone.  http://books.google.com/books?id=JIQcAAAAMAAJ&printsec=titlepage&source=gbs_summary_r&cad=0#PRA3-PA510,M1
"
3258,"The Art of Poetry","1683",1683,"","","Poetry","","Dryden, John.  <u>The Poetical Works of John Dryden</u>.  Ed. George R. Noyes. Boston: Houghton Mifflin Co., 1909.
","","Ed. SDM. This poem is a translation from Sieur de Boileau's French Poem. The bulk of the translation was done by Sir William Soame. Dryden helped to revise it and so he and Soame are both generally credited with the translation.  So...not sure about Dryden being attributed as the author.
"
3259,"An Essay on the Different Stiles of Poetry [From Collected Poems]","1713",1713,"","","Poetry","Essay","Parnell, Thomas. <u> Collected Poems of Thomas Parnell</u>.  Eds. Claude Julien Rawson and F. P. Lock. Newark: University of Delaware Press, 1989.
","","Ed. SDM"
3260," To ------ on the various Styles of Poetry [From Collected Poems]","1702-1713",1713,"","","Poetry","","","w. 1702-1713.  First published 1989","Ed. SDM.  This is also from the Satires Notebook."
3261," To the Right Honourable George, Lord Ramsay","1719",1719,"","","Poetry","","Ramsay, Allan. <u>The Works of Allan Ramsay</u>. Edinburgh: Scottish Text Society, 1951.
","w. 1719","Ed. SDM."
3262,"Love ","1928",1928,"","","Poetry","","Butler, Samuel, and Rene Lamar. <u> Satires and Miscellaneous Poetry and Prose </u>. Cambridge [Eng.]: University Press, 1928. 
","","Ed. SDM.  This verse was part of Butler's unpublished manuscripts but was not included in Thyer's earlier edition in 1759.  Lamar seems to have arranged and titled more of Butler's miscellaneous verse.  
"
3263,"Say, Baker if experience hoar","September 30, 1769?",1769,"","","Poetry","","Chatterton, Thomas, and C. B. Willcox. <u>The Poetical Works of Thomas Chatterton, With Notices of His Life, History of the Rowley Controversy, a Selection of His Letters, and Notes Critical and Explanatory</u>. Cambridge: W.P. Grant, 1842. 
","From his journal, follows directly on the same piece of paper with a poem dated September 30, 1769.
","Ed. SDM.  The poem is originally untitled, but I don't know of a better title than the one you have on it."
3264,"The Rosciad","1761",1761,"","","Poetry","","","",""
3265,"Belvoir Castle","1812",1812,"J. Murray","London","Poetry","","George Crabbe. <u>The Poetical Works of the Rev. George Crabbe: With His Letters and Journals, and His Life</u>. Vol. IV. London: J. Murray, 1834. 
","[written at the request of the Duchess Dowager of Rutland, and inscribed in her album, 1812]  First published in 1834.","Ed. SDM."
3266,"[La Belle Dame Sans Merci]","1907",1907,"Cambridge University Press","Cambridge","Poetry","","Crabbe, George. <u>Poems</u>. Ed. Adolphus William Ward. Vol. III.  Cambridge:  Cambridge University Press, 1907.
","","Ed. SDM. fragment given a title by Adolphus Ward and published by him for the first time in 1907."
3267,"The hint fm french","1713-1718?",1718,"","","Poetry","","Parnell, Thomas. <u> Collected Poems of Thomas Parnell</u>.  Eds. Claude Julien Rawson and F. P. Lock. Newark: University of Delaware Press, 1989.
","w. 1713-1718. First published 1989.","Ed. SDM.  From the ""Lyrics"" Notebook."
3268,"Song. Set by Mr. K.","1907",1907,"","","Poetry","","Prior, Matthew.  <u>Dialogues of the Dead: And Other Works in Prose and Verse </u>. Ed. A.R. Waller. Cambridge: Cambridge University Press, 1907.","From the Longleat Manuscript.  Unpublished before 1907.","Ed. SDM. Changed the title."
3269,"Fragment II","1872",1872,"Pickering","London","Poetry","","Frere, John Hookham, Aristophanes, Theognis, Bartle Frere, and William Edward Frere. <u>The Works: In Verse and Prose</u>. Vol. I. London: Pickering, 1872.
","","Ed. SDM"
3270,"3288. Engraven on my Heart and Mind","1762",1762,"","","Poetry","Hymn; Devotional","Wesley, John and Wesley, Charles.  <u>The Poetical Works of John and Charles Wesley</u>. Ed. G. Osborn. Vol. XIII. London: R. Needham, 1871.
","","Ed. SDM"
3271,"On the Same Subject [from Miscellaneous Poems]","1773",1773,"Printed by J. Harrop","Manchester","Poetry","","Byrom, John. <U>Miscellaneous poems</U>. Vol. 2. Manchester,  1773. ECCO. Gale. &lt;<a href=""http://find.galegroup.com/ecco/infomark.do?&contentSet=ECCOArticles&type=multipage&tabID=T001&prodId=ECCO&docId=CW3309980822&source=gale&userGroupName=viva_uva&version=1.0&docLevel=FASCIMILE"">Link</a>&gt;","",""
3272," HYMN I.  Where have I been so long [from Hymns for a Protestant]","1868",1868,"","","Poetry","Hymn; Devotional","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3273,"On the Death of Lady Hotham, June 30, 1756. [from Funeral Hymns. Third Series. Most of Which were not Published During the Author's Life.]","1868",1868,"","","Poetry","Hymn; Devotional","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3274,"Another. Most Gentle of All the Soft Kind. [from Funeral Hymns. Third Series. Most of Which were not Published During the Author's Life.]","1868",1868,"","","Poetry","Hymn; Devotional","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3275,"Essays on the Law of Nature","w. 1663",1663,"","","Prose","Philosophy; Essay","","","Written 1663. Lectures, delivered in 1664. 1954 publication."
3276,"A Letter to Reverend Mr. Richard King","July 23, 1703",1703,"","","Letter","","Locke, John. <u>The Works of John Locke</u>. Vol. X. London: Thomas Davison, 1823.
","","Ed. SDM.  You could change the title to ""A Letter to Reverend Mr. Richard King"" if you want. 
BMP: Done, 5/14/2009"
3277,"Discourse LVII:  The illustrious Manifestations of God, and the inexcusable Ignorance of Men","1751",1751,"Aberdeen","J. Chalmers","Prose","Philosophy; Cambridge Platonism","Whichcote, Benjamin. <u>The Works of the Learned Benjamin Whichcote</u>. Vol. III. Aberdeen: J. Chalmers, 1751, page 187.
","","Ed. SDM.  Okay, this one's got some problems.  I changed the title from ""The Use of Reason in Matters of Religion"" to the current one. The author is wrong.  Should be Benjamin Whichcote (1609-1683).  The metaphor is also wrong.  It should read:  ""There is a natural and indelible Sense of Deity, and consequently of religion, in the mind of man.""
REVISIT BMP"
3278,"Letter to Hester Thrale (0ctober 27, 1777)","1777",1777,"","Lichfield","Letter","","<U>The Works of Samuel Johnson</U>. 2 vols. New York: Alexander V. Blake, 1846","",""
3279,"No. 56 To the Duke of Devonshire [from Poems]","",0,"","","Poetry","","","",""
3280,"[Satire addressed to Sir Nicholas Smith]","1633",1633,"","","Poetry","","Maclean cites Donne, <i>Poems</i>, ed. H. J. C. Grierson, 2 vols., Oxford, 1912, I, 404. 
Also in Donne, John, and E. K. Chambers. <u>Poems of John Donne</u>. London: Lawrence & Bullen, 1896, 208.  Available on GoogleBooks.","","Ed. SDM"
3281,"Eleonora: A Panegyrical Poem, Dedicated to the Late Countess of Abingdon","",0,"","","Poetry","","","",""
3282,"Nouveaux Essais","1765",1765,"","","Prose","","","w. 1703-1705","Ed. SDM.  "
